Wavelength Å,Energy keV,Probability  of radiative decay s−1,Probability of autoionization s−1,Branching ratio ,Satellite intensity factor s−1,Source, Source g,Target, Target g, name
Carbon
9.3874E+00,1.3210E+00,1.53E+08,1.53E+08,2.89E+11,8.86E+06,1s 2p2,2,1s2 2p,4,h
9.3919E+00,1.3200E+00,6.86E+09,3.60E+09,6.56E+12,9.44E+09,1s 2s 2p,4,1s2 2s,2,u
9.3929E+00,1.3200E+00,2.62E+09,3.78E+08,8.74E+12,6.61E+08,1s 2s 2p,2,1s2 2s,2,v
9.5762E+00,1.2950E+00,2.93E+11,1.24E+14,2.35E+10,5.83E+11,1s 2s2,2,1s2 2p,2,p
9.5799E+00,1.2940E+00,5.50E+11,1.24E+14,4.40E+10,1.09E+12,1s 2s2,2,1s2 2p,4,o



Aluminum
7.7960E+00,1.5900E+00,3.16E+12,1.50E+13,1.19E+12,3.55E+12,1s 2p2,2,1s2 2p,2,n
7.7996E+00,1.5900E+00,8.55E+12,1.50E+13,3.20E+12,9.59E+12,1s 2p2,2,1s2 2p,4,m
7.8092E+00,1.5880E+00,1.88E+12,8.87E+13,2.08E+11,7.37E+12,1s 2s 2p,4,1s2 2s,2,s
7.8099E+00,1.5880E+00,3.18E+12,8.48E+13,3.61E+11,6.13E+12,1s 2s 2p,2,1s2 2s,2,t
7.8471E+00,1.5800E+00,2.43E+13,4.34E+12,8.49E+12,1.47E+13,1s 2s 2p,4,1s2 2s,2,q
7.8490E+00,1.5800E+00,2.31E+13,8.20E+12,7.38E+12,1.21E+13,1s 2s 2p,2,1s2 2s,2,r
7.8547E+00,1.5790E+00,4.64E+12,1.74E+12,1.14E+12,7.98E+11,1s 2p2,4,1s2 2p,2,b
7.8581E+00,1.5780E+00,2.68E+13,1.11E+10,6.85E+12,1.52E+10,1s 2p2,2,1s2 2p,2,d
7.8583E+00,1.5780E+00,3.42E+13,1.74E+12,8.43E+12,5.88E+12,1s 2p2,4,1s2 2p,4,a
7.8617E+00,1.5770E+00,1.23E+13,1.11E+10,3.15E+12,6.96E+09,1s 2p2,2,1s2 2p,4,c
7.8720E+00,1.5750E+00,1.28E+13,1.28E+14,9.08E+11,4.64E+13,1s 2p2,4,1s2 2p,2,k
7.8756E+00,1.5740E+00,6.47E+11,1.28E+14,4.59E+10,2.34E+12,1s 2p2,4,1s2 2p,4,l
7.8764E+00,1.5740E+00,1.31E+13,1.29E+14,9.18E+11,7.12E+13,1s 2p2,6,1s2 2p,4,j
7.9246E+00,1.5650E+00,1.24E+08,1.75E+10,3.69E+10,2.58E+08,1s 2p2,4,1s2 2p,2,g
7.9262E+00,1.5640E+00,1.17E+10,3.42E+08,9.42E+12,6.45E+08,1s 2p2,2,1s2 2p,2,i
7.9264E+00,1.5640E+00,2.62E+10,2.64E+11,9.03E+11,1.43E+11,1s 2p2,6,1s2 2p,4,e
7.9283E+00,1.5640E+00,1.61E+10,1.75E+10,4.78E+12,3.34E+10,1s 2p2,4,1s2 2p,4,f
7.9299E+00,1.5640E+00,3.72E+08,3.42E+08,3.00E+11,2.05E+07,1s 2p2,2,1s2 2p,4,h
7.9323E+00,1.5630E+00,1.57E+10,6.49E+09,7.07E+12,1.84E+10,1s 2s 2p,4,1s2 2s,2,u
7.9333E+00,1.5630E+00,5.95E+09,7.88E+08,8.83E+12,1.39E+09,1s 2s 2p,2,1s2 2s,2,v
8.0764E+00,1.5350E+00,4.17E+11,1.26E+14,3.28E+10,8.27E+11,1s 2s2,2,1s2 2p,2,p
8.0802E+00,1.5340E+00,7.68E+11,1.26E+14,6.03E+10,1.52E+12,1s 2s2,2,1s2 2p,4,o


Silicon
6.6783E+00,1.8570E+00,4.12E+12,1.59E+13,1.28E+12,4.09E+12,1s 2p2,2,1s2 2p,2,n
6.6820E+00,1.8560E+00,1.21E+13,1.59E+13,3.76E+12,1.20E+13,1s 2p2,2,1s2 2p,4,m
6.6891E+00,1.8540E+00,2.39E+12,9.10E+13,2.56E+11,9.32E+12,1s 2s 2p,4,1s2 2s,2,s
6.6898E+00,1.8530E+00,4.65E+12,8.61E+13,5.13E+11,8.83E+12,1s 2s 2p,2,1s2 2s,2,t
6.7191E+00,1.8450E+00,3.37E+13,3.86E+12,8.97E+12,1.39E+13,1s 2s 2p,4,1s2 2s,2,q
6.7210E+00,1.8450E+00,3.15E+13,8.78E+12,7.82E+12,1.37E+13,1s 2s 2p,2,1s2 2s,2,r
6.7245E+00,1.8440E+00,5.83E+12,2.71E+12,1.04E+12,1.13E+12,1s 2p2,4,1s2 2p,2,b
6.7280E+00,1.8430E+00,3.72E+13,1.91E+10,6.90E+12,2.64E+10,1s 2p2,2,1s2 2p,2,d
6.7282E+00,1.8430E+00,4.74E+13,2.71E+12,8.47E+12,9.20E+12,1s 2p2,4,1s2 2p,4,a
6.7317E+00,1.8420E+00,1.67E+13,1.91E+10,3.10E+12,1.19E+10,1s 2p2,2,1s2 2p,4,c
6.7388E+00,1.8400E+00,1.82E+13,1.30E+14,1.22E+12,6.37E+13,1s 2p2,4,1s2 2p,2,k
6.7425E+00,1.8390E+00,5.76E+11,1.30E+14,3.86E+10,2.02E+12,1s 2p2,4,1s2 2p,4,l
6.7432E+00,1.8390E+00,1.80E+13,1.33E+14,1.19E+12,9.50E+13,1s 2p2,6,1s2 2p,4,j
6.7813E+00,1.8280E+00,2.01E+08,2.88E+10,3.21E+10,3.70E+08,1s 2p2,4,1s2 2p,2,g
6.7830E+00,1.8280E+00,2.59E+10,7.10E+08,9.44E+12,1.34E+09,1s 2p2,2,1s2 2p,2,i
6.7832E+00,1.8280E+00,5.73E+10,4.31E+11,1.17E+12,3.03E+11,1s 2p2,6,1s2 2p,4,e
6.7851E+00,1.8270E+00,3.36E+10,2.88E+10,5.37E+12,6.19E+10,1s 2p2,4,1s2 2p,4,f
6.7868E+00,1.8270E+00,8.26E+08,7.10E+08,3.02E+11,4.28E+07,1s 2p2,2,1s2 2p,4,h
6.7878E+00,1.8270E+00,3.37E+10,1.11E+10,7.52E+12,3.34E+10,1s 2s 2p,4,1s2 2s,2,u
6.7888E+00,1.8260E+00,1.27E+10,1.48E+09,8.95E+12,2.65E+09,1s 2s 2p,2,1s2 2s,2,v
6.9027E+00,1.7960E+00,5.78E+11,1.28E+14,4.46E+10,1.14E+12,1s 2s2,2,1s2 2p,2,p
6.9066E+00,1.7950E+00,1.04E+12,1.28E+14,8.03E+10,2.06E+12,1s 2s2,2,1s2 2p,4,o



Phosphorus
5.7843E+00,2.1440E+00,5.19E+12,1.68E+13,1.34E+12,4.51E+12,1s 2p2,2,1s2 2p,2,n
5.7881E+00,2.1420E+00,1.67E+13,1.68E+13,4.32E+12,1.45E+13,1s 2p2,2,1s2 2p,4,m
5.7934E+00,2.1400E+00,2.93E+12,9.32E+13,3.04E+11,1.14E+13,1s 2s 2p,4,1s2 2s,2,s
5.7941E+00,2.1400E+00,6.71E+12,8.71E+13,7.15E+11,1.25E+13,1s 2s 2p,2,1s2 2s,2,t
5.8175E+00,2.1310E+00,4.57E+13,3.36E+12,9.31E+12,1.25E+13,1s 2s 2p,4,1s2 2s,2,q
5.8195E+00,2.1310E+00,4.20E+13,9.51E+12,8.15E+12,1.55E+13,1s 2s 2p,2,1s2 2s,2,r
5.8212E+00,2.1300E+00,7.04E+12,4.04E+12,9.36E+11,1.51E+12,1s 2p2,4,1s2 2p,2,b
5.8249E+00,2.1290E+00,5.04E+13,3.14E+10,6.95E+12,4.37E+10,1s 2p2,2,1s2 2p,2,d
5.8250E+00,2.1290E+00,6.42E+13,4.04E+12,8.53E+12,1.38E+13,1s 2p2,4,1s2 2p,4,a
5.8287E+00,2.1270E+00,2.21E+13,3.14E+10,3.05E+12,1.91E+10,1s 2p2,2,1s2 2p,4,c
