n1,n2,Z,"WL,  ̊A","E, keV",A,G,K,QD,,Transition,,,No
2,1,14,6.6898,1.85E+00,4.65E-01,8.61E+00,5.13E-02,8.83E-01,C,232,S,212,6
2,1,14,6.7191,1.85E+00,3.37E+00,3.86E-01,8.97E-01,1.39E+00,K,234,S,212,7
2,1,14,6.721,1.84E+00,3.15E+00,8.78E-01,7.82E-01,1.37E+00,K,232,S,212,8
2,1,14,6.7245,1.84E+00,5.83E-01,2.71E-01,1.04E-01,1.13E-01,M,234,P,232,9
2,1,14,6.728,1.84E+00,3.72E+00,1.91E-03,6.90E-01,2.64E-03,M,232,P,232,10
2,1,14,6.7282,1.84E+00,4.74E+00,2.71E-01,8.47E-01,9.20E-01,M,234,P,234,11
2,1,14,6.7317,1.84E+00,1.67E+00,1.91E-03,3.10E-01,1.19E-03,M,232,P,234,12
2,1,14,6.7388,1.84E+00,1.82E+00,1.30E+01,1.22E-01,6.37E+00,F,254,P,232,13
2,1,14,6.7406,1.84E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,T,313,Y,111,14
2,1,14,6.7425,1.84E+00,5.76E-02,1.30E+01,3.86E-03,2.01E-01,F,254,P,234,15
2,1,14,6.7432,1.84E+00,1.80E+00,1.33E+01,1.19E-01,9.50E+00,F,256,P,234,16
2,1,14,6.7813,1.83E+00,2.01E-05,2.88E-03,3.21E-03,3.70E-05,M,434,P,232,17
2,1,14,6.783,1.83E+00,2.59E-03,7.10E-05,9.44E-01,1.34E-04,M,432,P,232,18
2,1,14,6.7832,1.83E+00,5.73E-03,4.31E-02,1.17E-01,3.03E-02,M,436,P,234,19
2,1,14,6.7851,1.83E+00,3.36E-03,2.88E-03,5.37E-01,6.19E-03,M,434,P,234,20
2,1,14,6.7868,1.83E+00,8.26E-05,7.10E-05,3.02E-02,4.28E-06,M,432,P,234,21
2,1,14,6.7878,1.83E+00,3.37E-03,1.11E-03,7.52E-01,3.34E-03,K,434,S,212,22
2,1,14,6.7888,1.83E+00,1.27E-03,1.48E-04,8.95E-01,2.65E-04,K,432,S,212,23
2,1,14,6.9027,1.80E+00,5.78E-02,1.28E+01,4.46E-03,1.14E-01,E,212,P,232,24
2,1,14,6.9066,1.80E+00,1.04E-01,1.28E+01,8.03E-03,2.05E-01,E,212,P,234,25
2,1,15,5.7606,2.15E+00,5.09E+00,0.00E+00,1.00E+00,0.00E+00,R,133,Y,111,1
2,1,15,5.7843,2.14E+00,5.19E-01,1.68E+00,1.34E-01,4.51E-01,F,212,P,232,2
2,1,15,5.7881,2.14E+00,1.67E+00,1.68E+00,4.32E-01,1.45E+00,F,212,P,234,3
2,1,15,5.7934,2.14E+00,2.93E-01,9.32E+00,3.04E-02,1.13E+00,C,234,S,212,4
2,1,15,5.7936,2.14E+00,3.00E-02,0.00E+00,1.00E+00,0.00E+00,R,333,Y,111,5
2,1,15,5.7941,2.14E+00,6.71E-01,8.71E+00,7.15E-02,1.25E+00,C,232,S,212,6
2,1,15,5.8175,2.13E+00,4.57E+00,3.36E-01,9.31E-01,1.25E+00,K,234,S,212,7
2,1,15,5.8195,2.13E+00,4.20E+00,9.51E-01,8.15E-01,1.55E+00,K,232,S,212,8
2,1,15,5.8212,2.13E+00,7.04E-01,4.04E-01,9.36E-02,1.51E-01,M,234,P,232,9
