Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""3d9.4s.(3D).5d""","=""2G""","=""7/2""",8,"=""""","=""9.65826""","=""""",
"=""3d9.4s.(3D).5d""","=""4D""","=""5/2""",6,"=""""","=""9.659035""","=""""",
"=""3d9.4s.(3D).5d""","=""4F""","=""7/2""",8,"=""""","=""9.660768""","=""""",
"=""3d9.4s.(3D).5d""","=""2D""","=""3/2""",4,"=""""","=""9.66252""","=""""",
"=""3d9.4s.(3D).5d""","=""2F""","=""5/2""",6,"=""""","=""9.665726""","=""""",
"=""3d9.4s.(3D).7s""","=""4D""","=""7/2""",8,"=""""","=""9.703150""","=""""",
"=""3d9.4s.(1D).6s""","=""2D""","=""5/2""",6,"=""""","=""9.714132""","=""""",
"=""3d9.4s.(3D).7s""","=""4D""","=""5/2""",6,"=""""","=""9.731085""","=""""",
"=""3d9.4s.(1D).6s""","=""2D""","=""3/2""",4,"=""""","=""9.742417""","=""""",
"=""3d9.4s.(3D).6p""","=""4D*""","=""1/2""",2,"=""""","=""9.78141""","=""""",
"=""3d9.4s.(3D).6p""","=""2P*""","=""1/2""",2,"=""""","=""9.78488""","=""""",
"=""3d9.4s.(3D).5d""","=""4G""","=""7/2""",8,"=""""","=""9.79329""","=""""",
"=""3d9.4s.(3D).5d""","=""4D""","=""3/2""",4,"=""""","=""9.795181""","=""""",
"=""3d9.4s.(3D).5d""","=""4G""","=""5/2""",6,"=""""","=""9.801370""","=""""",
"=""3d9.4s.(3D).5d""","=""4F""","=""5/2""",6,"=""""","=""9.809232""","=""""",
"=""3d9.4s.(3D).5d""","=""4F""","=""3/2""",4,"=""""","=""9.809527""","=""""",
"=""3d9.4s.(3D).7s""","=""4D""","=""3/2""",4,"=""""","=""9.826733""","=""""",
"=""3d9.4s.(3D).7s""","=""2D""","=""5/2""",6,"=""""","=""9.827971""","=""""",
"=""3d9.4s.(3D<1>).4f<5/2>""","=""(1,5/2)*""","=""3/2""",4,"=""""","=""9.83908""","=""""",
"=""3d9.4s.(3D).6d""","=""4S""","=""3/2""",4,"=""""","=""9.87421""","=""""",
"=""3d9.4s.(3D).7p""","=""4P*""","=""3/2""",4,"=""""","=""9.87504""","=""""",
"=""3d9.4s.(3D).6d""","=""4G""","=""11/2""",12,"=""""","=""9.87756""","=""""",
"=""3d9.4s.(3D).6d""","=""4P""","=""5/2""",6,"=""""","=""9.87849""","=""""",
"=""3d9.4s.(3D).6d""","=""4D""","=""7/2""",8,"=""""","=""9.88085""","=""""",
"=""3d9.4s.(3D).6d""","=""4F""","=""9/2""",10,"=""""","=""9.88149""","=""""",
"=""3d9.4s.(3D<3>).5f""","=""*""","=""1/2,3/2""",6,"=""""","=""9.89380""","=""""",
"=""3d9.4s.(3D).8s""","=""4D""","=""7/2""",8,"=""""","=""9.95819""","=""""",
"=""3d9.4s.(3D).7s""","=""4D""","=""1/2""",2,"=""""","=""9.959759""","=""""",
"=""3d9.4s.(3D<2>).5f""","=""*""","=""1/2,3/2""",6,"=""""","=""9.97138""","=""""",
"=""3d9.4s.(3D).7s""","=""2D""","=""3/2""",4,"=""""","=""9.97532""","=""""",
"=""3d9.4s.(3D).7p""","=""4P*""","=""1/2""",2,"=""""","=""9.97805""","=""""",
"=""3d9.4s.(3D).6d""","=""4G""","=""9/2""",10,"=""""","=""9.98142""","=""""",
"=""3d9.4s.(3D).6d""","=""4D""","=""5/2""",6,"=""""","=""9.98597""","=""""",
"=""3d9.4s.(3D).6d""","=""2G""","=""7/2""",8,"=""""","=""9.98737""","=""""",
"=""3d9.4s.(3D).6d""","=""4F""","=""7/2""",8,"=""""","=""9.98813""","=""""",
"=""3d9.4s.(3D).6d""","=""2F""","=""5/2""",6,"=""""","=""9.98992""","=""""",
"=""3d9.4s.(3D).6d""","=""2D""","=""3/2""",4,"=""""","=""9.99145""","=""""",
"=""3d9.4s.(1D).6p?""","=""2P*""","=""3/2""",4,"=""""","=""10.03579""","=""""",
"=""3d9.4s.(3D).8p""","=""4P*""","=""3/2""",4,"=""""","=""10.05321""","=""""",
"=""3d9.4s.(3D<3>).6f""","=""*""","=""1/2,3/2""",6,"=""""","=""10.06292""","=""""",
"=""3d9.4s.(1D).5d""","=""2D""","=""5/2""",6,"=""""","=""10.07899""","=""""",
