Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""3d5.(2H).4p""","=""3I*""","=""6""",13,"=""""","=""39.65773""","=""""",
"=""3d5.(4F).4p""","=""3G*""","=""4""",9,"=""""","=""39.66253""","=""""",
"=""3d5.(2F1).4p""","=""1D*""","=""2""",5,"=""""","=""39.66586""","=""""",
"=""3d5.(2G2).4p""","=""3F*""","=""3""",7,"=""""","=""39.73875""","=""""",
"=""3d5.(2H).4p""","=""3I*""","=""7""",15,"=""""","=""39.77205""","=""""",
"=""3d5.(2G2).4p""","=""3F*""","=""2""",5,"=""""","=""39.80118""","=""""",
"=""3d5.(2G2).4p""","=""3F*""","=""4""",9,"=""""","=""39.80598""","=""""",
"=""3d5.(2F1).4p""","=""1F*""","=""3""",7,"=""""","=""39.80916""","=""""",
"=""3d5.(2H).4p""","=""1I*""","=""6""",13,"=""""","=""39.96322""","=""""",
"=""3d5.(4F).4p""","=""3D*""","=""2""",5,"=""""","=""39.97714""","=""""",
"=""3d5.(4F).4p""","=""3D*""","=""3""",7,"=""""","=""39.99961""","=""""",
"=""3d5.(4F).4p""","=""3F*""","=""4""",9,"=""""","=""40.02480""","=""""",
"=""3d5.(4F).4p""","=""3D*""","=""1""",3,"=""""","=""40.04504""","=""""",
"=""3d5.(4F).4p""","=""3F*""","=""3""",7,"=""""","=""40.11184""","=""""",
"=""3d5.(4F).4p""","=""3F*""","=""2""",5,"=""""","=""40.15285""","=""""",
"=""3d5.(2G2).4p""","=""3H*""","=""5""",11,"=""""","=""40.15967""","=""""",
"=""3d5.(2H).4p""","=""3H*""","=""4""",9,"=""""","=""40.16181""","=""""",
"=""3d5.(2G2).4p""","=""3G*""","=""5""",11,"=""""","=""40.29251""","=""""",
"=""3d5.(2G2).4p""","=""3H*""","=""6""",13,"=""""","=""40.31334""","=""""",
"=""3d5.(2G2).4p""","=""3G*""","=""3""",7,"=""""","=""40.32123""","=""""",
"=""3d5.(2G2).4p""","=""3G*""","=""4""",9,"=""""","=""40.32267""","=""""",
"=""3d5.(2F2).4p""","=""1G*""","=""4""",9,"=""""","=""40.36419""","=""""",
"=""3d5.(2F2).4p""","=""3F*""","=""2""",5,"=""""","=""40.41674""","=""""",
"=""3d5.(2F2).4p""","=""3F*""","=""3""",7,"=""""","=""40.42260""","=""""",
"=""3d5.(2G2).4p""","=""1H*""","=""5""",11,"=""""","=""40.46081""","=""""",
"=""3d5.(2G2).4p""","=""1F*""","=""3""",7,"=""""","=""40.51057""","=""""",
"=""3d5.(2F2).4p""","=""3F*""","=""4""",9,"=""""","=""40.52755""","=""""",
"=""3d5.(2F2).4p""","=""1D*""","=""2""",5,"=""""","=""40.55803""","=""""",
"=""3d5.(2H).4p""","=""1H*""","=""5""",11,"=""""","=""40.58717""","=""""",
"=""3d5.(2F2).4p""","=""3D*""","=""1""",3,"=""""","=""40.84821""","=""""",
"=""3d5.(2F2).4p""","=""3G*""","=""3""",7,"=""""","=""40.86701""","=""""",
"=""3d5.(2S).4p""","=""3P*""","=""0""",1,"=""""","=""40.8675""","=""""",
"=""3d5.(2F2).4p""","=""3D*""","=""2""",5,"=""""","=""40.88719""","=""""",
"=""3d5.(2F2).4p""","=""3D*""","=""3""",7,"=""""","=""40.89903""","=""""",
"=""3d5.(2F2).4p""","=""3G*""","=""4""",9,"=""""","=""40.95176""","=""""",
"=""3d5.(2S).4p""","=""3P*""","=""1""",3,"=""""","=""40.96087""","=""""",
"=""3d5.(2F2).4p""","=""3G*""","=""5""",11,"=""""","=""41.00390""","=""""",
"=""3d5.(2S).4p""","=""3P*""","=""2""",5,"=""""","=""41.12288""","=""""",
"=""3d5.(2H).4p""","=""1G*""","=""4""",9,"=""""","=""41.28632""","=""""",
"=""3d5.(2S).4p""","=""1P*""","=""1""",3,"=""""","=""41.46992""","=""""",
"=""3d5.(2F2).4p""","=""1F*""","=""3""",7,"=""""","=""41.50103""","=""""",
"=""3d5.(2D2).4p""","=""3F*""","=""2""",5,"=""""","=""42.51347""","=""""",
"=""3d5.(2D2).4p""","=""3F*""","=""3""",7,"=""""","=""42.56161""","=""""",
"=""3d5.(2D2).4p""","=""3D*""","=""1""",3,"=""""","=""42.58591""","=""""",
"=""3d5.(2D2).4p""","=""3D*""","=""2""",5,"=""""","=""42.63886""","=""""",
"=""3d5.(2D2).4p""","=""3D*""","=""3""",7,"=""""","=""42.75037""","=""""",
"=""3d5.(2D2).4p""","=""3F*""","=""4""",9,"=""""","=""42.76351""","=""""",
"=""3d5.(2D2).4p""","=""1F*""","=""3""",7,"=""""","=""42.89073""","=""""",
"=""3d5.(2D2).4p""","=""3P*""","=""2""",5,"=""""","=""43.01176""","=""""",
"=""3d5.(2D2).4p""","=""3P*""","=""0""",1,"=""""","=""43.01275""","=""""",
"=""3d5.(2D2).4p""","=""3P*""","=""1""",3,"=""""","=""43.01755""","=""""",
"=""3d5.(2D2).4p""","=""1P*""","=""1""",3,"=""""","=""43.20582""","=""""",
"=""3d5.(2D2).4p""","=""1D*""","=""2""",5,"=""""","=""43.33832""","=""""",
"=""3d5.(2G1).4p""","=""3H*""","=""4""",9,"=""""","=""43.77530""","=""""",
"=""3d5.(2G1).4p""","=""3F*""","=""4""",9,"=""""","=""43.80950""","=""""",
"=""3d5.(2G1).4p""","=""3H*""","=""5""",11,"=""""","=""43.83462""","=""""",
"=""3d5.(2G1).4p""","=""3F*""","=""3""",7,"=""""","=""43.88361""","=""""",
"=""3d5.(2G1).4p""","=""3H*""","=""6""",13,"=""""","=""44.01308""","=""""",
"=""3d5.(2G1).4p""","=""3F*""","=""2""",5,"=""""","=""44.03291""","=""""",
"=""3d5.(2G1).4p""","=""3G*""","=""3""",7,"=""""","=""44.06395""","=""""",
"=""3d5.(2G1).4p""","=""3G*""","=""4""",9,"=""""","=""44.10941""","=""""",
"=""3d5.(2G1).4p""","=""3G*""","=""5""",11,"=""""","=""44.14294""","=""""",
"=""3d5.(2G1).4p""","=""1H*""","=""5""",11,"=""""","=""44.44532""","=""""",
"=""3d5.(2G1).4p""","=""1G*""","=""4""",9,"=""""","=""44.48068""","=""""",
"=""3d5.(2G1).4p""","=""1F*""","=""3""",7,"=""""","=""44.64190""","=""""",
"=""3d5.(2P).4p""","=""3P*""","=""0""",1,"=""""","=""45.68086""","=""""",
"=""3d5.(2P).4p""","=""3P*""","=""1""",3,"=""""","=""45.7189""","=""""",
"=""3d5.(2P).4p""","=""3P*""","=""2""",5,"=""""","=""45.83070""","=""""",
"=""3d5.(2P).4p""","=""3D*""","=""2""",5,"=""""","=""46.46984""","=""""",
