 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
    238  7  6  341   6 2s2 2p10g       -4.00284E-02  2.13772E+00 27.0
    239  7  6  320  15 2s2 2p10f       -4.00123E-02  2.13774E+00 15.0
    240  7  6  350   5 2s2 2p10h       -4.00026E-02  2.13775E+00 33.0
    241  7  6  150   5 2s2 2p10h       -4.00026E-02  2.13775E+00 11.0
    242  7  6  360   5 2s2 2p10h       -4.00009E-02  2.13775E+00 39.0
    243  7  6  160   5 2s2 2p10h       -4.00009E-02  2.13775E+00 13.0
    244  7  6  161   4 2s2 2p10i       -4.00001E-02  2.13775E+00 13.0
    245  7  6  361   4 2s2 2p10i       -4.00001E-02  2.13775E+00 39.0
    246  7  6  351   9 2s2 2p10i       -3.99996E-02  2.13775E+00 33.0
    247  7  6  151   9 2s2 2p10g       -3.99995E-02  2.13775E+00 11.0
    248  7  6  530   1 2s2p2(4PE) 3d    2.45941E-02  2.20234E+00 35.0
    249  7  6  510   2 2s2p2(4PE) 3d    3.76677E-02  2.21542E+00 15.0
    250  7  6  520   1 2s2p2(4PE) 3d    4.18817E-02  2.21963E+00 25.0
    251  7  6  510   3 2s2p2(4PE) 4s    1.19676E-01  2.29743E+00 15.0
    252  7  6  301   3 2s2p2(4PE) 4p    1.71729E-01  2.34948E+00  3.0
    253  7  6  521   2 2s2p2(4PE) 4p    1.75478E-01  2.35323E+00 25.0
    254  7  6  511   2 2s2p2(4PE) 4p    1.80388E-01  2.35814E+00 15.0
    255  7  6  501   3 2s2p2(4PE) 4p    1.95804E-01  2.37355E+00  5.0
    256  7  6  530   2 2s2p2(4PE) 4d    2.35939E-01  2.41369E+00 35.0
    257  7  6  520   2 2s2p2(4PE) 4d    2.41804E-01  2.41955E+00 25.0
    258  7  6  510   4 2s2p2(4PE) 4d    2.43473E-01  2.42122E+00 15.0
    259  7  6  521   3 2s2p2(4PE) 4f    2.50767E-01  2.42852E+00 25.0
    260  7  6  541   1 2s2p2(4PE) 4f    2.51334E-01  2.42908E+00 45.0
    261  7  6  531   1 2s2p2(4PE) 4f    2.53021E-01  2.43077E+00 35.0
    262  7  6  510   5 2s2p2(4PE) 5s    2.79678E-01  2.45743E+00 15.0
    263  7  6  301   4 2s2p2(4PE) 5p    3.03046E-01  2.48080E+00  3.0
    264  7  6  521   4 2s2p2(4PE) 5p    3.05257E-01  2.48301E+00 25.0
    265  7  6  511   3 2s2p2(4PE) 5p    3.07462E-01  2.48521E+00 15.0
    266  7  6  501   4 2s2p2(4PE) 5p    3.14772E-01  2.49252E+00  5.0
    267  7  6  530   3 2s2p2(4PE) 5d    3.33476E-01  2.51123E+00 35.0
    268  7  6  520   3 2s2p2(4PE) 5d    3.36257E-01  2.51401E+00 25.0
    269  7  6  510   6 2s2p2(4PE) 5d    3.37583E-01  2.51533E+00 15.0
    270  7  6  521   5 2s2p2(4PE) 5f    3.41219E-01  2.51897E+00 25.0
    271  7  6  541   2 2s2p2(4PE) 5f    3.41587E-01  2.51934E+00 45.0
    272  7  6  530   4 2s2p2(4PE) 5g    3.42044E-01  2.51979E+00 35.0
    273  7  6  550   1 2s2p2(4PE) 5g    3.42067E-01  2.51982E+00 55.0
    274  7  6  540   1 2s2p2(4PE) 5g    3.42158E-01  2.51991E+00 45.0
    275  7  6  531   2 2s2p2(4PE) 5f    3.42663E-01  2.52041E+00 35.0
    276  7  6  510   7 2s2p2(4PE) 6s    3.56623E-01  2.53437E+00 15.0
    277  7  6  301   5 2s2p2(4PE) 6p    3.69099E-01  2.54685E+00  3.0
    278  7  6  521   6 2s2p2(4PE) 6p    3.70435E-01  2.54819E+00 25.0
    279  7  6  511   4 2s2p2(4PE) 6p    3.71627E-01  2.54938E+00 15.0
    280  7  6  501   5 2s2p2(4PE) 6p    3.75633E-01  2.55338E+00  5.0
    281  7  6  530   5 2s2p2(4PE) 6d    3.85917E-01  2.56367E+00 35.0
    282  7  6  520   4 2s2p2(4PE) 6d    3.87467E-01  2.56522E+00 25.0
    283  7  6  510   8 2s2p2(4PE) 6d    3.88344E-01  2.56609E+00 15.0
    284  7  6  521   7 2s2p2(4PE) 6f    3.90423E-01  2.56817E+00 25.0
    285  7  6  541   3 2s2p2(4PE) 6f    3.90650E-01  2.56840E+00 45.0
    286  7  6  530   6 2s2p2(4PE) 6g    3.90935E-01  2.56869E+00 35.0
    287  7  6  550   2 2s2p2(4PE) 6g    3.90958E-01  2.56871E+00 55.0
    288  7  6  541   4 2s2p2(4PE) 6h    3.90993E-01  2.56874E+00 45.0
    289  7  6  540   2 2s2p2(4PE) 6g    3.91047E-01  2.56880E+00 45.0
    290  7  6  531   3 2s2p2(4PE) 6f    3.91324E-01  2.56907E+00 35.0
    291  7  6  510   9 2s2p2(4PE) 7s    3.99543E-01  2.57729E+00 15.0
    292  7  6  301   6 2s2p2(4PE) 7p    4.06980E-01  2.58473E+00  3.0
    293  7  6  521   8 2s2p2(4PE) 7p    4.07833E-01  2.58558E+00 25.0
    294  7  6  511   5 2s2p2(4PE) 7p    4.08552E-01  2.58630E+00 15.0
    295  7  6  501   6 2s2p2(4PE) 7p    4.10980E-01  2.58873E+00  5.0
    296  7  6  530   7 2s2p2(4PE) 7d    4.17250E-01  2.59500E+00 35.0
    297  7  6  520   5 2s2p2(4PE) 7d    4.18204E-01  2.59595E+00 25.0
    298  7  6  510  10 2s2p2(4PE) 7d    4.18791E-01  2.59654E+00 15.0
    299  7  6  521   9 2s2p2(4PE) 7f    4.20091E-01  2.59784E+00 25.0
    300  7  6  541   5 2s2p2(4PE) 7f    4.20238E-01  2.59799E+00 45.0
    301  7  6  530   8 2s2p2(4PE) 7g    4.20426E-01  2.59818E+00 35.0
    302  7  6  550   4 2s2p2(4PE) 7g    4.20471E-01  2.59822E+00 55.0
    303  7  6  550   3 2s2p2(4PE) 7i    4.20471E-01  2.59822E+00 55.0
    304  7  6  541   6 2s2p2(4PE) 7h    4.20472E-01  2.59822E+00 45.0
    305  7  6  540   3 2s2p2(4PE) 7g    4.20514E-01  2.59826E+00 45.0
    306  7  6  531   4 2s2p2(4PE) 7f    4.20678E-01  2.59843E+00 35.0
    307  7  6  510  11 2s2p2(4PE) 8s    4.25920E-01  2.60367E+00 15.0
    308  7  6  301   7 2s2p2(4PE) 8p    4.30708E-01  2.60846E+00  3.0
    309  7  6  521  10 2s2p2(4PE) 8p    4.31281E-01  2.60903E+00 25.0
    310  7  6  511   6 2s2p2(4PE) 8p    4.31748E-01  2.60950E+00 15.0
    311  7  6  501   7 2s2p2(4PE) 8p    4.33330E-01  2.61108E+00  5.0
