    378.44          S VIII  E1 2s2.2p4.(3P).3p-2s2.2p4.(1S).3d 2Po-2D   2 - 4  1.164e+06 4.999e-05    16 209.380000 - 242.141000 063
    379.66          S VIII  E1 2s2.2p4.(3P).3p-2s2.2p4.(1S).3d 2Do-2D   6 - 6  1.532e+07 3.311e-04    16 209.373500 - 242.031000 063
    382.90          S VIII  E1 2s2.2p4.(3P).3p-2s2.2p4.(1S).3d 2Do-2D   4 - 4  1.312e+07 2.884e-04    16 209.761000 - 242.141000 063
    384.21          S VIII  E1 2s2.2p4.(3P).3p-2s2.2p4.(1S).3d 2Do-2D   4 - 6  3.836e+05 1.273e-05    16 209.761000 - 242.031000 063
    389.24          S VIII  E1 2s2.2p4.(3P).3p-2s2.2p4.(1S).3d 2Po-2D   4 - 4  1.751e+07 3.977e-04    16 210.289000 - 242.141000 063
    390.60          S VIII  E1 2s2.2p4.(3P).3p-2s2.2p4.(1S).3d 2Po-2D   4 - 6  2.213e+06 7.593e-05    16 210.289000 - 242.031000 063
    392.69          S VIII] E1 2s2.2p4.(3P).3p-2s2.2p4.(1S).3d 4So-2D   4 - 4  1.004e+06 2.321e-05    16 210.568200 - 242.141000 063
    394.07          S VIII] E1 2s2.2p4.(3P).3p-2s2.2p4.(1S).3d 4So-2D   4 - 6  2.100e+05 7.334e-06    16 210.568200 - 242.031000 063
    394.68          S VIII] E1 2s2.2p4.(3P).3p-2s2.2p4.(1S).3d 2So-2D   2 - 4  8.238e+04 3.848e-06    16 210.728000 - 242.141000 063
    403.12          S VIII  E1 2s2.2p4.(1S).3d-2s.2p5.(1Po).3s  2D-2Po  6 - 4  4.381e+06 7.115e-05     3 242.031000 - 272.786000 063
    403.52          S VIII  E1 2s2.2p4.(1S).3d-2s.2p5.(1Po).3s  2D-2Po  4 - 2  4.853e+06 5.924e-05     3 242.141000 - 272.867000 063
    404.58          S VIII  E1 2s2.2p4.(1S).3d-2s.2p5.(1Po).3s  2D-2Po  4 - 4  4.815e+05 1.182e-05     3 242.141000 - 272.786000 063
    405.89          S VIII] E1 2s2.2p4.(3P).3s-2s2.2p4.(1S).3p  4P-2Po  6 - 4  7.439e+05 1.225e-05    16 193.327300 - 223.873000 063
    414.45          S VIII] E1 2s2.2p4.(3P).3s-2s2.2p4.(1S).3p  4P-2Po  4 - 2  4.996e+06 6.433e-05    16 194.061200 - 223.976000 063
    415.89          S VIII] E1 2s2.2p4.(3P).3s-2s2.2p4.(1S).3p  4P-2Po  4 - 4  1.055e+07 2.736e-04    16 194.061200 - 223.873000 063
