 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
    252 26 24  540   6 3d5(6S5) 5g     -3.60006E-01  1.77709E+00 45.0
    253 26 24  320  14 3d5(2G5) 4d     -3.59548E-01  1.77755E+00 15.0
    254 26 24  150   5 3d5(2G5) 4d     -3.58151E-01  1.77895E+00 11.0
    255 26 24  360   6 3d5(2G5) 4d     -3.56511E-01  1.78059E+00 39.0
    256 26 24  321  11 3d5(4D5) 5p     -3.53210E-01  1.78389E+00 15.0
    257 26 24  140   8 3d5(2G5) 4d     -3.52840E-01  1.78426E+00  9.0
    258 26 24  331  12 3d5(4D5) 5p     -3.51969E-01  1.78513E+00 21.0
    259 26 24  330  14 3d5(2G5) 4d     -3.51141E-01  1.78596E+00 21.0
    260 26 24  310  10 3d5(2F3) 4d     -3.50141E-01  1.78696E+00  9.0
    261 26 24  160   5 3d5(2H3) 4d:    -3.49969E-01  1.78713E+00 13.0
    262 26 24  120   9 3d5(2G5) 4d     -3.49751E-01  1.78735E+00  5.0
    263 26 24  311   9 3d5(4D5) 5p     -3.46605E-01  1.79049E+00  9.0
    264 26 24  350   8 3d5(2H3) 4d     -3.41990E-01  1.79511E+00 33.0
    265 26 24  130   8 3d5(2G5) 4d:    -3.40973E-01  1.79613E+00  7.0
    266 26 24  340  13 3d5(2F5) 4d     -3.37546E-01  1.79955E+00 27.0
    267 26 24  350   9 3d5(2H3) 5s     -3.36201E-01  1.80090E+00 33.0
    268 26 24  340  14 3d5(2G5) 5s     -3.33243E-01  1.80386E+00 27.0
    269 26 24  150   6 3d5(2F5) 4d     -3.33080E-01  1.80402E+00 11.0
    270 26 24  720   3 3d5(6S5) 6d     -3.32220E-01  1.80488E+00 35.0
    271 26 24  110   4 3d5(2F5) 4d     -3.31728E-01  1.80537E+00  3.0
    272 26 24  100   4 3d5(2D5) 4d     -3.28884E-01  1.80822E+00  1.0
    273 26 24  150   7 3d5(2H3) 5s     -3.28673E-01  1.80843E+00 11.0
    274 26 24  700   4 3d5(6S5) 7s     -3.28455E-01  1.80865E+00  7.0
    275 26 24  350  10 3d5(2F5) 4d     -3.26389E-01  1.81071E+00 33.0
    276 26 24  140   9 3d5(2G5) 5s     -3.25534E-01  1.81157E+00  9.0
    277 26 24  500   5 3d5(6S5) 7s     -3.23510E-01  1.81359E+00  5.0
    278 26 24  330  15 3d5(2F5) 5s     -3.22010E-01  1.81509E+00 21.0
    279 26 24  340  15 3d5(2G5) 4d     -3.21617E-01  1.81548E+00 27.0
    280 26 24  520  10 3d5(6S5) 6d     -3.20373E-01  1.81673E+00 25.0
    281 26 24  330  16 3d5(2F5) 4d     -3.17889E-01  1.81921E+00 21.0
    282 26 24  320  15 3d5(2F5) 4d     -3.14829E-01  1.82227E+00 15.0
    283 26 24  330  17 3d5(2H3) 4d     -3.13969E-01  1.82313E+00 21.0
    284 26 24  130   9 3d5(2F5) 5s     -3.12618E-01  1.82448E+00  7.0
    285 26 24  310  11 3d5(2F5) 4d     -3.09847E-01  1.82725E+00  9.0
    286 26 24  120  10 3d5(2F5) 4d     -3.08179E-01  1.82892E+00  5.0
    287 26 24  160   6 3d5(2G5) 4d     -3.01955E-01  1.83514E+00 13.0
    288 26 24  140  10 3d5(2H3) 4d     -2.96932E-01  1.84017E+00  9.0
    289 26 24  711   4 3d5(6S5) 7p     -2.92033E-01  1.84507E+00 21.0
    290 26 24  371   2 3d5(2I5) 5p     -2.88438E-01  1.84866E+00 45.0
    291 26 24  361   3 3d5(2I5) 5p     -2.87512E-01  1.84959E+00 39.0
    292 26 24  511   8 3d5(6S5) 7p     -2.87276E-01  1.84982E+00 15.0
    293 26 24  171   2 3d5(2I5) 5p     -2.84150E-01  1.85295E+00 15.0
    294 26 24  351   7 3d5(2I5) 5p     -2.82434E-01  1.85467E+00 33.0
    295 26 24  151   5 3d5(2I5) 5p     -2.80220E-01  1.85688E+00 11.0
    296 26 24  140  11 3d5(2F5) 4d     -2.77098E-01  1.86000E+00  9.0
    297 26 24  161   3 3d5(2I5) 5p     -2.74811E-01  1.86229E+00 13.0
    298 26 24  561   1 3d5(4G5) 4f     -2.72028E-01  1.86507E+00 65.0
    299 26 24  571   1 3d5(4G5) 4f     -2.71696E-01  1.86540E+00 75.0
    300 26 24  541   4 3d5(4G5) 4f     -2.71695E-01  1.86540E+00 45.0
    301 26 24  551   3 3d5(4G5) 4f     -2.71664E-01  1.86544E+00 55.0
    302 26 24  531   8 3d5(4G5) 4f     -2.71407E-01  1.86569E+00 35.0
    303 26 24  371   3 3d5(4G5) 4f     -2.71030E-01  1.86607E+00 45.0
    304 26 24  311  10 3d5(4G5) 4f     -2.70372E-01  1.86673E+00  9.0
    305 26 24  521   6 3d5(4G5) 4f     -2.70232E-01  1.86687E+00 25.0
    306 26 24  321  12 3d5(4G5) 4f     -2.69871E-01  1.86723E+00 15.0
    307 26 24  331  13 3d5(4G5) 4f     -2.69434E-01  1.86767E+00 21.0
    308 26 24  341   9 3d5(4G5) 4f     -2.69261E-01  1.86784E+00 27.0
    309 26 24  361   4 3d5(4G5) 4f     -2.68911E-01  1.86819E+00 39.0
    310 26 24  511   9 3d5(4G5) 4f     -2.68904E-01  1.86820E+00 15.0
    311 26 24  351   8 3d5(4G5) 4f     -2.68798E-01  1.86830E+00 33.0
    312 26 24  130  10 3d5(2F5) 4d     -2.63877E-01  1.87322E+00  7.0
