 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
    234 26 22  151   7 3d3(2D3) 4f     -1.32899E+00  4.11084E+00 11.0
    235 26 22  321  15 3d3(2D3) 4f     -1.32869E+00  4.11114E+00 15.0
    236 26 22  331  13 3d3(2D3) 4f     -1.32840E+00  4.11143E+00 21.0
    237 26 22  131   9 3d3(2D3) 4f     -1.32614E+00  4.11369E+00  7.0
    238 26 22  111   7 3d3(2D3) 4f     -1.32593E+00  4.11390E+00  3.0
    239 26 22  331  14 3d3(2H3) 4f     -1.32227E+00  4.11756E+00 21.0
    240 26 22  550   2 3d3(4F3) 5d     -1.32113E+00  4.11870E+00 55.0
    241 26 22  510   5 3d3(4F3) 5d     -1.31885E+00  4.12098E+00 15.0
    242 26 22  131  10 3d3(2H3) 4f     -1.31637E+00  4.12346E+00  7.0
    243 26 22  530   5 3d3(4F3) 5d     -1.31487E+00  4.12496E+00 35.0
    244 26 22  121  10 3d3(2H3) 4f     -1.31452E+00  4.12531E+00  5.0
    245 26 22  141   9 3d3(2D3) 4f     -1.31281E+00  4.12702E+00  9.0
    246 26 22  540   2 3d3(4F3) 5d     -1.31238E+00  4.12745E+00 45.0
    247 26 22  321  16 3d3(2H3) 4f     -1.31215E+00  4.12768E+00 15.0
    248 26 22  100   4 3d3(2D1) 4d     -1.31091E+00  4.12892E+00  1.0
    249 26 22  320  12 3d3(4F3) 5d     -1.31066E+00  4.12917E+00 15.0
    250 26 22  310  13 3d3(4F3) 5d     -1.28448E+00  4.15535E+00  9.0
    251 26 22  350   8 3d3(4F3) 5d     -1.28376E+00  4.15607E+00 33.0
    252 26 22  340  10 3d3(4F3) 5d     -1.27957E+00  4.16026E+00 27.0
    253 26 22  330  16 3d3(4F3) 5d     -1.27103E+00  4.16880E+00 21.0
    254 26 22  320  13 3d3(2D1) 5s     -1.26985E+00  4.16998E+00 15.0
    255 26 22  520   4 3d3(4F3) 5d     -1.26661E+00  4.17322E+00 25.0
    256 26 22  331  15 3d3(2F3) 5p     -1.26238E+00  4.17745E+00 21.0
    257 26 22  120  11 3d3(2D1) 5s     -1.25991E+00  4.17992E+00  5.0
    258 26 22  341  14 3d3(2F3) 5p     -1.25336E+00  4.18647E+00 27.0
    259 26 22  321  17 3d3(2F3) 5p     -1.24590E+00  4.19393E+00 15.0
    260 26 22  141  10 3d3(2F3) 5p     -1.24586E+00  4.19397E+00  9.0
    261 26 22  121  11 3d3(2F3) 5p     -1.24301E+00  4.19682E+00  5.0
    262 26 22  131  11 3d3(2F3) 5p     -1.24067E+00  4.19916E+00  7.0
    263 26 22  120  12 3d2 4s2         -1.21050E+00  4.22933E+00  5.0
    264 26 22  351   9 3d3(2F3) 4f     -1.18351E+00  4.25632E+00 33.0
    265 26 22  341  15 3d3(2F3) 4f     -1.18174E+00  4.25809E+00 27.0
    266 26 22  310  14 3d2 4s2         -1.18003E+00  4.25980E+00  9.0
    267 26 22  331  16 3d3(2F3) 4f     -1.17985E+00  4.25998E+00 21.0
    268 26 22  101   3 3d3(2F3) 4f     -1.17747E+00  4.26236E+00  1.0
    269 26 22  321  18 3d3(2F3) 4f     -1.17264E+00  4.26719E+00 15.0
    270 26 22  141  11 3d3(2F3) 4f     -1.17016E+00  4.26967E+00  9.0
    271 26 22  530   6 3d3(4F3) 6s     -1.16804E+00  4.27179E+00 35.0
    272 26 22  111   8 3d3(2F3) 4f     -1.16676E+00  4.27307E+00  3.0
    273 26 22  131  12 3d3(2F3) 4f     -1.16507E+00  4.27476E+00  7.0
    274 26 22  151   8 3d3(2F3) 4f     -1.16212E+00  4.27771E+00 11.0
    275 26 22  121  12 3d3(2F3) 4f     -1.16181E+00  4.27802E+00  5.0
    276 26 22  311  11 3d3(2F3) 4f     -1.16036E+00  4.27947E+00  9.0
    277 26 22  330  17 3d3(4F3) 6s     -1.15927E+00  4.28056E+00 21.0
    278 26 22  301   6 3d3(2F3) 4f     -1.15241E+00  4.28742E+00  3.0
    279 26 22  530   7 3d3(4P3) 5d     -1.14379E+00  4.29604E+00 35.0
    280 26 22  320  14 3d3(4P3) 5d     -1.14039E+00  4.29944E+00 15.0
    281 26 22  510   6 3d3(4P3) 5d     -1.13443E+00  4.30540E+00 15.0
    282 26 22  520   5 3d3(4P3) 5d     -1.13148E+00  4.30835E+00 25.0
    283 26 22  130  10 3d3(2G3) 5d     -1.13061E+00  4.30922E+00  7.0
    284 26 22  150   6 3d3(2G3) 5d     -1.12783E+00  4.31200E+00 11.0
    285 26 22  340  11 3d3(2G3) 5d     -1.12489E+00  4.31494E+00 27.0
    286 26 22  350   9 3d3(2G3) 5d     -1.12275E+00  4.31708E+00 33.0
    287 26 22  140  10 3d2 4s2         -1.11760E+00  4.32223E+00  9.0
    288 26 22  330  18 3d3(4P3) 5d     -1.11513E+00  4.32470E+00 21.0
    289 26 22  320  15 3d3(2G3) 5d     -1.10818E+00  4.33165E+00 15.0
    290 26 22  120  13 3d3(2G3) 5d     -1.10350E+00  4.33633E+00  5.0
    291 26 22  330  19 3d3(2G3) 5d     -1.10253E+00  4.33730E+00 21.0
    292 26 22  310  15 3d3(4P3) 5d     -1.10019E+00  4.33964E+00  9.0
    293 26 22  140  11 3d3(2G3) 5d     -1.08382E+00  4.35601E+00  9.0
